total_nacional_region,comuna_4_5,especie_6,total_numero_de_upa78,total_superficie_cultivo_ha
Región de Antofagasta,Taltal,Acacia,0,0
Región de Antofagasta,Taltal,Álamo,0,0
Región de Antofagasta,Taltal,Aromo,0,0
Región de Antofagasta,Taltal,Atriplex sp,0,0
Región de Antofagasta,Taltal,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Antofagasta,Taltal,Eucalyptus Nitens,0,0
Región de Antofagasta,Taltal,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Antofagasta,Taltal,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Antofagasta,Taltal,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Antofagasta,Taltal,Coigüe,0,0
Región de Antofagasta,Taltal,Quillay,0,0
Región de Antofagasta,Taltal,Raulí,0,0
Región de Antofagasta,Taltal,Tamarugo,0,0
Región de Antofagasta,Taltal,Otras Especies Exóticas,0,0
Región de Antofagasta,Taltal,Otras Coníferas,0,0
Región de Antofagasta,Taltal,Otras Especies Nativas,0,0
Región de Antofagasta,Taltal,Especie Nativa y Especie Exótica,0,0
Región de Antofagasta,San Pedro De Atacama,Total,5,12.163
Región de Antofagasta,San Pedro De Atacama,Sin clasificar,0,0
Región de Antofagasta,San Pedro De Atacama,Acacia,0,0
Región de Antofagasta,San Pedro De Atacama,Álamo,0,0
Región de Antofagasta,San Pedro De Atacama,Aromo,0,0
Región de Antofagasta,San Pedro De Atacama,Atriplex sp,0,0
Región de Antofagasta,San Pedro De Atacama,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Antofagasta,San Pedro De Atacama,Eucalyptus Nitens,0,0
Región de Antofagasta,San Pedro De Atacama,Pino Ponderosa (Pinus Ponderosa),1,0.01
Región de Antofagasta,San Pedro De Atacama,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Antofagasta,San Pedro De Atacama,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Antofagasta,San Pedro De Atacama,Coigüe,0,0
Región de Antofagasta,San Pedro De Atacama,Quillay,0,0
Región de Antofagasta,San Pedro De Atacama,Raulí,0,0
Región de Antofagasta,San Pedro De Atacama,Tamarugo,2,11.8
Región de Antofagasta,San Pedro De Atacama,Otras Especies Exóticas,0,0
Región de Antofagasta,San Pedro De Atacama,Otras Coníferas,0,0
