total_nacional_region____,comuna6_7____,especie____,total__numero_de_upa89__,total__superficie_ha__,total__superficie_ha__en_riego,total__superficie_ha__en_secano,total__superficie_ha__sin_clasificar_10,total__estado_desarrollo_ha__en_formacion_11,total__estado_desarrollo_ha__en_produccion_12,total__estado_desarrollo_ha__sin_clasificar_10
Región de Tarapacá,Total Región,Almendro,1,0.002,0.002,0,0,0.002,0,0
Región de Tarapacá,Total Región,Berries,4,1.323,1.323,0,0,0,1.323,0
Región de Tarapacá,Total Región,Avellano Europeo,0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Castaño,0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Cerezo,0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Chirimoyo,4,0.041,0.041,0,0,0.007,0.034,0
Región de Tarapacá,Total Región,Ciruelo Europeo,1,0.176,0.176,0,0,0,0.176,0
Región de Tarapacá,Total Región,Ciruelo Japonés,0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Clementina,0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Damasco,0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Duraznero (Consumo Fresco),5,1.2,1.2,0,0,0,1.2,0
Región de Tarapacá,Total Región,Duraznero (Tipo Conservero),3,0.199,0.199,0,0,0.035,0.164,0
Región de Tarapacá,Total Región,Granado,35,2.597,2.577,0.02,0,0.342,2.255,0
Región de Tarapacá,Total Región,Higuera,9,0.129,0.129,0,0,0.004,0.125,0
Región de Tarapacá,Total Región,Kiwi,0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Lima (o Limón Sutil),20,2.898,2.847,0.021,0.03,1.365,1.533,0
Región de Tarapacá,Total Región,Limón de Pica,131,47.799,44.68,3.119,0,2.995,44.804,0
Región de Tarapacá,Total Región,Limonero,14,12.341,12.341,0,0,6.356999999999999,5.984,0
Región de Tarapacá,Total Región,Mandarina,9,0.361,0.361,0,0,0.003,0.358,0
Región de Tarapacá,Total Región,Mango,154,56.763,53.092,3.671,0,2.156,54.607,0
Región de Tarapacá,Total Región,Manzana,4,0.102,0.102,0,0,0,0.102,0
Región de Tarapacá,Total Región,Membrillo,48,9.775,9.775,0,0,0.05,9.725,0
Región de Tarapacá,Total Región,"Moras, Murta y Zarzaparrila",0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Naranjo,119,30.359,29.534,0.685,0.14,0.785,29.574,0
Región de Tarapacá,Total Región,Nectarino,0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Nogal,1,0.1,0.1,0,0,0,0.1,0
Región de Tarapacá,Total Región,Olivo,6,12.535,12.535,0,0,1.001,11.534,0
Región de Tarapacá,Total Región,Palto,15,0.995,0.995,0,0,0.272,0.723,0
Región de Tarapacá,Total Región,Papayo,1,0.02,0.02,0,0,0.02,0,0
Región de Tarapacá,Total Región,Pera,14,1.882,1.882,0,0,0.3,1.582,0
Región de Tarapacá,Total Región,Pistacho,1,0.08,0.08,0,0,0,0.08,0
Región de Tarapacá,Total Región,Pomelo,59,6.65,6.296,0.346,0.008,0.068,6.582,0
Región de Tarapacá,Total Región,Rosa Mosqueta (Cultivada),0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Tuna,10,3.545,3.545,0,0,0.11,3.435,0
Región de Tarapacá,Total Región,Uva de Mesa,11,0.123,0.123,0,0,0.038,0.085,0
Región de Tarapacá,Total Región,Otros Frutales,185,81.941,79.384,2.536,0.021,3.638,78.303,0
Región de Tarapacá,Total Región,Quinta Frutal,41,3.089,3.033,0.056,0,0.4,2.689,0
Región de Tarapacá,Iquique/Alto Hospicio,Total,3,12.475,12.475,0,0,1,11.475,0
Región de Tarapacá,Iquique/Alto Hospicio,Sin Clasificar,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Almendro,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Berries,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Avellano Europeo,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Castaño,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Cerezo,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Chirimoyo,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Ciruelo Europeo,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Ciruelo Japonés,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Clementina,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Damasco,0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Duraznero (Consumo Fresco),0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Duraznero (Tipo Conservero),0,0,0,0,0,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Granado,1,0.013,0.013,0,0,0,0.013,0
Región de Tarapacá,Iquique/Alto Hospicio,Higuera,0,0,0,0,0,0,0,0
