Total Nacional - Región_0,comuna_6_7_8_1,número__de_upa_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25,número_de_upa_26,superficie_(ha)_27,número_de_upa_28,superficie_(ha)_29,número_de_upa_30,superficie_(ha)_31,número_de_upa_32,superficie_(ha)_33,número_de_upa_34,superficie_(ha)_35,número_de_upa_36,superficie_(ha)_37,número_de_upa_38,superficie_(ha)_39
Región del Maule,curepto,5670,4870105227521371,2750,642312929222525,950,247609639602,30,560,660,68611,610,3196891891045,360,26051,20,28,70,6710811448795,20,03,950,33425,1620,2408376124838879,1990,1070133829635443,70,6855,2750,3535293471447062,1000,636826254846827,210,5889895776129979,600,456479514960964,4260,1329716840668681
Región del Maule,empedrado,2140,3954154356125684,180,436,440,3324,00,00,520,16736,170,2891,310,1453186710962,00,00,00,00,10,03,180,28234746248,1310,1971825276753613,420,3479072745769771,50,461615,1000,2526345893435709,610,5503017201121083,470,6449553315383562,240,358356575228393,1000,748990645437986
Región del Maule,maule,6080,1258441387938569,680,69714268821472,480,12241432531583,30,436,4010,157354352692229,830,1177651,630,92511679095645,200,12465,60,919954403832,100,1668,380,327726047463,260,705532622380563,360,1560151666206853,330,3067711402022,1040,111434927662143,1860,1164688007398665,180,1338507872873109,620,941760999860316,3300,464317474587061
Región del Maule,pelarco,3180,2438208689803798,550,72164366388738,140,1048844544275,140,1964524210528,950,38194099813055,460,252411946982232,30,275,60,053,220,111761886248624,70,20,560,64137857400124,320,4095742467621305,230,2853635040641189,1180,417115363476344,970,3883151491407801,340,1014608643913081,140,815280124854762,810,1233058381579922,2700,597388669448454
Región del Maule,pencahue,5970,5781795176508953,1180,1163808560675,40,37,30,1480,2870,642698,1020,34761635274111,1060,3656084311197,90,08039999999999999,40,490,20,205,780,7586405931375,1180,1759156087446644,1750,1049726632699067,180,1358232727276,1680,3275057585317654,2360,7941218215694833,790,4413038588444453,1200,2694931672316848,4500,1368106236710441
Región del Maule,río_claro,3990,2609742740546445,550,52055,190,2721,250,1659,250,278628,1770,635844387480634,440,1543741643836,60,086,60,451,90,4225,470,8295799999999999,330,4423664997280698,180,1898523621940094,240,124313,1440,3199740995585961,1000,270858556579802,60,1485346139671046,550,523514867552366,2570,1053422898993921
Región del Maule,san_clemente,13960,9075266649711246,3680,275614289867321,2210,77133199793967,360,468866,4150,65645714303467,2860,5815082191886973,510,2240758721072,380,6227,1670,253062965450624,160,52211,3350,24175756145726,1470,1222624122413467,1970,3716839905278764,5000,619120247867746,2830,3290674467226268,3820,5788827497389479,830,3324596876082096,1430,2566333426666536,11480,2481109252462953
Región del Maule,san_rafael,2020,1649831399986722,490,41815,30,32,50,229315789472,490,2064434210524,300,517320699269152,50,6331999999999999,20,024,30,530,40,1617,550,109632689463424,310,1042735368028672,130,358294,680,99192,890,140219,370,1677113495377192,260,489220229519,190,2069987331479472,1750,858537688137522
Región del Maule,cauquenes,8770,105643472851914,1550,12286745127847,210,8040000000000001,20,10,1550,268848,1540,146087996968623,2800,47646573289038,20,0165,20,32133,30,137,880,5635856335762,2240,4054549498528183,790,8359288809694952,120,20667,5420,2305136965848654,2830,9148406697187485,910,1051782169852883,1400,3326134684504245,4940,211169907327916
Región del Maule,chanco,6510,2565277323568956,2140,59231530564446,2830,274869684410625,00,00,870,1613,2260,473655554396375,30,460,40,045,30,9799999999999999,20,0256,2210,83006726527565,3300,1370510087760144,650,2084386731496154,10,130,4260,3447410235939672,890,2172829303308617,680,8135932659572379,570,650327561657096,4410,5225814500022306
Región del Maule,pelluhue,2440,1691080306911409,610,7383353340174,730,38713315589375,00,00,760,73952,1420,68039433681125,20,10,00,00,10,03,40,0136,470,10813032041735,1220,1140001706872047,480,242147422123431,20,45,700,363386695214394,1060,955889755650728,160,187870381074505,310,8993905430675139,1550,3807266010625805
Región del Maule,curicó,7720,3900192158826689,710,40589,230,21639,50,495,1650,648076,4960,8788766061169415,650,2128807361096866,40,1409,10,1600,340,128522,650,4395257077625,300,1722257621434007,400,1715540203749708,90,835,1020,1071752438477125,1920,38676348475204,100,372653734342452,590,1007118095871668,4070,9494676830953811
Región del Maule,hualañé,3710,3311413210361681,950,561748746001475,340,8182511891205,70,1155,980,911955200857,1350,759285062381,380,4384248719546,10,07,80,4546188551205,140,145943,900,349353219216733,1030,1222134356314036,810,47406864095572,160,136652,1800,476039346852,840,1582405497163973,120,5917681616881502,360,572286912713962,3100,724593911576201
Región del Maule,licantén,2040,1705142943299756,770,974870679781836,960,79711265949162,00,00,370,428444799143,320,1247522880151,30,1205,20,06,20,155,60,1502,740,27956,970,7230909211489047,320,2248163190975294,30,110,820,1292323828976363,340,447957414146288,650,2514337016761874,450,291084966255734,1500,6584116971901001
Región del Maule,molina,4500,7328577381600578,640,6130792307696,360,37591,60,1188,390,60698,2840,4395154915862,900,35517978781712,20,24,60,16381,150,2915,570,3711037936331,570,1533556890412983,200,9857417119038915,310,820625712077,640,2410891719677648,1250,3517452736838429,190,2646549113706872,580,283739834211008,3370,979700271000373
Región del Maule,rauco,3300,1526590600002991,540,27198706391978,80,1291563100575,10,20,730,2248524297843,1300,1347358706337321,170,675343680114864,10,075,10,40,100,75,290,1017565214837,120,30700513151592,370,459807,10,21164556963,960,1963448063569132,610,534919793050444,90,4206273417741501,200,6300600000000001,2260,356501004544204
Región del Maule,romeral,4160,8639090698050674,170,12545,110,10548,00,00,140,43593,3600,3851705975776059,130,411713613800806,00,00,30,132,190,2117,200,8443,300,2059979994993521,260,1751802891675086,180,14703,1080,1105223364951742,940,854487907597518,100,144863793416128,490,4823035731555991,2830,557574372349365
Región del Maule,sagrada_familia,3930,4015248399838931,640,39945448472935,110,265,160,25367,1070,47355671549895,1640,6151599331501263,1050,203800190173772,30,3006,80,989,30,158,320,453922914771767,180,4713809939562156,340,5855520333044671,120,322174309979,790,8320785299295081,570,146311213271991,350,5251542739101428,340,2958551751094966,1760,1352576145353051
Región del Maule,teno,8630,4101660469013894,2170,149669293608022,850,20493436899425,250,1434,1030,5062157702157,5440,7550484594435918,290,81007671905586,60,2454,160,7883,190,6488,1100,53343,390,20134211246026,180,1283767499677182,360,508810443037,2700,4130944243248351,1880,1844567553066002,140,302612078625372,1230,8812155,5410,98709987414818
Región del Maule,vichuquén,1400,2066317117483759,430,16127,260,2232788108795,00,00,120,2707,250,34388019939341,20,17559308223516,30,0606,00,00,00,00,110,431881186656,850,1072015335475277,240,2617201706973802,70,2210,880,24766690148755,80,28417470730614,140,3059038587949167,110,769165087182598,730,489479624456734
Región del Maule,linares,10900,4942300287135007,3820,443211321301765,780,2174635236166,100,1450262195117,2190,2770512273751,4280,2978599028146613,250,24015,80,1129,170,14302921021426,170,224748197189,1880,95667824381436,870,3253082610953021,1840,852929712390596,1080,60926613048429,4780,3979719052106293,2180,2515731239403132,1350,841001104995187,1870,1926160966320159,8710,1019581460885419
Región del Maule,colbún,4850,4842804097989463,1430,15326414718599,550,1629752802204,80,1596187499993,670,1224422595183,2280,2357227881012375,40,3695,10,0012,140,25693645237444,60,136770833333,1180,6455020272135,400,5587013285479843,720,1480962155058932,1280,10313648333326,1450,1528848092765875,550,6574240064384489,250,2380317774072061,630,163329343912312,3540,812533840453764
Región del Maule,longaví,16520,6398588539409551,7850,7357834376144,1750,3898619615392,620,35080625,3910,117081395,9530,7793035011522989,50,56726621573068,40,06653124894,190,2249125,100,350490469336,2300,113003876367634,530,1519930532678585,680,1261174537255697,2130,19601215072465,7400,5942174907935175,2200,2260681487931453,920,1754134750316024,1990,3846320418647285,12330,1901657828797666
Región del Maule,parral,12570,8853221993021821,6640,128217315612678,1050,23683030395129,340,7345,2400,47188749218526,5080,3267167677329695,90,587624447911,50,1594,230,96743166666655,40,2712,1140,77906775661069,1010,1869910510988348,770,1663007176378774,720,5832598875126,7230,1885168218634669,2450,4547130886410123,1190,711489564980837,2210,7649274655730564,9070,1518520972763803
Región del Maule,retiro,9320,4330485000186224,3590,65206583911775,720,21819969604871,150,1975,3260,139158229096034,4470,4783123556366915,330,87784,60,27072875106,90,64301833333345,90,1224657166808,1270,76128823589861,570,7175535667453019,270,388174289826453,610,9911251818254,5510,1493626378072797,1460,2555926507538202,440,260880452572438,1200,604734007800438,6590,8738266061414
Región del Maule,san_javier,9010,8150004955818801,2570,286739301641045,850,10119335087704,70,3345,1970,3406450877184,1310,132459742028985,4390,662676612003875,00,00,40,20342,30,0602,790,5130910344828,1450,2210822929628603,830,9898297896707856,360,1112682169491,4380,1353756901704677,2460,9727949754525547,280,8159522975664896,1320,2424567501342865,5790,1308282759412393
Región del Maule,villa_alegre,3560,8726325300003191,1100,1931134298661534,240,30216443775078,80,2153,460,605557684224,1320,132201087848645,850,18122006442137,50,1812,60,1101,130,35089,480,25878512915102,320,125361768995456,80,3502711901004,470,243732778595895,1190,121288916785812,360,40058443899815,110,174,410,409341,2060,264416969859645
Región del Maule,yerbas_buenas,6980,1293616067919316,2750,284156496097885,1070,525173846153,110,1203687804869,500,776641666615,3860,2798684693196075,170,51459686747,10,005,160,1011536545633,80,241883333333,1170,6832093218482,270,468119949778302,100,65336493499957,470,607777501547395,2290,1671740817873565,1170,1030920290021723,290,16694418036376,740,59149436484868,5020,647172456568656
Región de Ñuble,total_región,121710,8079930097955882,50460,79425673,23560,4496113,2120,8489904,25730,45200623,33400,18486627,18240,4715429,840,20497,1060,222676,1000,212721,22220,15545853,21710,2304938510048282,13830,1820550289919336,12380,14953961,72420,1444032249996378,25680,2930718150003599,16560,2269875599961555,17870,2914994509839934,97070,1679142190113775
Región de Ñuble,chillán,8260,2948059115791275,2900,419303569995293,970,20022,120,2761947153362,2540,5682265259825,2630,1839554847501219,1500,532452,60,3474,80,973940593184,150,43005,1630,14070352576639,1070,6121038222497796,500,600904862320744,1140,133923143797748,3860,6491590506779253,2290,2009056665236277,970,1348831313982928,1540,1322191198555923,7040,1087154844807206
Región de Ñuble,bulnes,7380,3294548901055875,3250,57278768803666,910,3149086777175,140,92805,1880,313921131579,1330,24420725845309,240,103269006784,60,2566,100,2783,60,4268,1810,2677138111025,640,4384202839922251,270,538428660033848,1300,20102147292513,4830,84140334128619,1040,1184439634239758,820,931499235553336,960,1482578434332706,5660,116930967236065
Región de Ñuble,chillán_viejo,2700,1775397079553634,590,11877,200,1225,30,400,1180,14649,500,131345,310,14363,10,003,10,60,30,23,300,283406241789,450,7699140437916018,140,386411579453386,150,130908863406363,1800,4841067988477406,310,454699381736562,180,437862940868532,230,251983698873606,1930,4205648923582
Región de Ñuble,el_carmen,11680,6351656397905235,8330,1442038918387757,4540,664785,310,15917852846638,1720,4511447740175,3540,13282389690743,200,2118,50,1606,50,5691159406816,20,2005,3720,15176348453715,2860,7180937963698839,2920,1468861180495036,2220,85887,8220,1468447870003595,1260,1830325605626267,2270,1106567439490665,1980,1586975309386897,10550,1011912158177096
Región de Ñuble,pemuco,3780,4658641240712664,1900,73811475581235,460,40125,130,78495,930,629446,660,19022,00,00,00,00,30,370,00,00,880,33991,990,2226596884418105,830,3584676124329478,490,65056,2570,4487566394791646,390,2008762809622397,850,1238763701359269,950,2269761681743084,3170,1244055692976222
Región de Ñuble,pinto,4420,5432811809994233,1860,4029688,640,38287,50,1325,850,28411,1550,605316,10,005,30,419,20,604,00,00,810,435616899371,1210,4327787889070144,940,1959842870594918,630,40764610062889,2780,2261486500932222,320,593707920836761,500,4984372387144,520,359014746806893,3680,392432589242853
Región de Ñuble,quillón,6360,1445769834982902,250,58650443731,260,1731,00,00,1820,117672868421,2940,7773059473684,2760,4533503691791,230,3106,00,00,220,806,80,233,890,6502342524474943,480,1102028265738402,140,896370364425,1750,864329686259743,2260,755677432336998,1650,1537377621084412,1940,1603712342768264,4980,543837812024258
Región de Ñuble,san_ignacio,9670,212427233146502,6650,6862732558046,3720,829117,470,99091,1290,378466,1380,128693440916351,10,10,20,06,140,20996,00,00,2760,16683947558046,580,2304361903857977,370,217115641320611,1040,74039,5470,3459045770332894,830,5321995553779179,970,37017591037896,1090,507957527195364,7120,88336228317237
Región de Ñuble,yungay,4810,5624413588592396,1420,1035599,810,206337,110,910414,1360,3862536,590,647328,60,236,20,0324,00,00,30,2653,640,28983,1200,2530405527133035,790,8502238020157522,620,25535,3140,2933111237440794,1470,2794290687131005,1070,127476385036852,1100,1196140662860314,3430,1182696556635456
