Total Nacional - Región_0,comuna_56_1,número_de_upa7_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25
Región de Los Lagos,puerto_varas,2320,2933681896000307,10,05,110,241,200,13625,280,3950736,460,1483664999994,360,2403195,290,41645699999967,470,13607513982237,110,69331120178358,20,23243099999672,10,2618959
Región de Los Lagos,castro,8730,123368253999996,200,91645,2540,7691715,2770,19260373999996,2000,26993525,960,28653595,120,79275,100,131059,20,6220,20,13424,00,00,00,00
Región de Los Lagos,ancud,11590,528040616999881,500,231825,2360,629582,2010,1424322,2350,3306505,2470,76383002,1070,719625,520,709288,210,62319999999881,50,333275,20,26760,30,1325229
Región de Los Lagos,chonchi,7770,868733002997069,190,8969,1320,4089109,1410,9805225,2110,30250215,1720,54497834,720,5110483,160,221492,90,28338,10,6196,00,00,40,662212899997069
Región de Los Lagos,curaco_de_vélez,3590,32935196538459,160,79451538459,1160,3226295,1130,77454,800,1143015,320,91388,20,13151,00,00,00,00,00,00,00,00,00,00
Región de Los Lagos,dalcahue,6640,169609559461665,170,74296,1040,3076850000004,1390,10099299,1680,24052682461541,1660,50078992,500,340297,130,1715774000012,60,15040,00,00,10,16000,00,00
Región de Los Lagos,puqueldón,4530,43128198,70,424,1290,38606,1550,11291848,1240,1655705,340,88661,40,25102,00,00,00,00,00,00,00,00,00,00
Región de Los Lagos,queilén,3630,7298983,30,125,720,19847,800,54002,950,131473,840,2508283,230,155986,50,75437,10,4220,00,00,00,00,00,00
Región de Los Lagos,quellón,6290,2037047740002931,140,805,1220,324035,1200,841406,1410,2003931,1400,423454725,580,39377,200,262591,50,165022,10,647649,10,141802,70,1860133057502931
Región de Los Lagos,quemchi,8290,17570268,50,178,1350,42196,1740,1277831,2360,3371434,2220,6791815,450,2935608,90,112634,10,2150,20,14285,00,00,00,00
Región de Los Lagos,quinchao,7850,72204024,150,63365,2720,8268028,2500,17632755,1760,23319647,660,19088704,60,3831525,00,00,00,00,00,00,00,00,00,00
Región de Los Lagos,osorno,6810,641003538737213,270,1292,1640,4657800999994,990,6693250000028,850,12037350000016,900,2858611599998,590,3989519999999,690,96184206824533,590,181994528964069,240,164310568312994,40,50636017635616,10,55879299999993
Región de Los Lagos,puerto_octay,3360,794413165929581,10,05,540,1824,440,30251,600,84765,510,164387,300,2127835,330,46450800000038,370,112844050000176,140,95316049999387,80,95418399998921,40,393336215931059
Región de Los Lagos,purranque,3450,468595932153155,40,225,610,18089,560,406589999999,630,891709,550,179378,280,19743500000026,310,426999,230,73982399999999,150,103684496613149,30,443489,60,151384545539991
Región de Los Lagos,puyehue,6930,1456241691687458,220,1347,1960,5428900000002,1070,70748,1220,16064760000004,930,297233,640,46103299999996,300,42417300000388,310,103207954999936,170,123385926687132,60,77939125,50,1004761625
Región de Los Lagos,río_negro,5280,445759038098453,210,1071,1420,4011619999992,880,615171,860,118709,710,22395127991135,410,27744614697101,220,29154899999911,410,123506165435442,110,81941849999353,20,256469,30,113228149975519
Región de Los Lagos,san_juan_de_la_costa,8060,510780406881745,30,19,1170,3722362,1850,1315732,2210,3053075,1810,55112200000006,580,383424,260,357996,70,20572,20,10350,10,10000,50,293174774881739
Región de Los Lagos,san_pablo,6920,274825750105948,400,24915,2050,60053,1550,108453375,1280,17534822499968,780,2239639999993,290,19594832,250,36729884737017,200,68744561035571,110,7211544999948001,00,00,10,20610012333982
Región de Los Lagos,chaitén,2840,7869940170001904,10,05,190,5701,350,2527,510,76897,700,222007,360,241015,330,4777730000000001,220,7247917,90,573206,50,70368,30,7564901100001904
Región de Los Lagos,futaleufú,1460,658322028,00,00,30,75,100,7267,100,1454,260,8368303,380,27806,300,430076,230,64531325,50,304652,00,00,10,4818879
Región de Los Lagos,hualaihué,3040,115101010000014,100,5009,910,255314,640,47892,480,67184,410,115987,300,2114337000014,80,10679,60,18150,30,17467,00,00,30,10578612
Región de Los Lagos,palena,2060,695554025,00,00,10,30,70,56742,190,27412,440,14797,480,3290591,380,5458832,330,98276385,140,8895629,10,12050,10,3906415
Región de Aysén del General Carlos Ibáñez del Campo,total_región,19680,74363429595,390,21394,1660,47168715,1290,9174356,1370,196857,2690,86186497,2600,186294695,2690,3746504325,3510,111796708779486,2170,1513421235,840,111946301720514,470,69931655763
Región de Aysén del General Carlos Ibáñez del Campo,coyhaique,7770,4328194289992598,130,7074,650,18885355,520,378327,630,9314599999980001,1430,44311817,1220,85820495,1050,1424500225,1180,36976815,520,368833700000277,230,309048,210,2992904959992341
Región de Aysén del General Carlos Ibáñez del Campo,lago_verde,770,38456562,00,00,40,986,50,3347,30,430,30,8818,70,5220,70,9170,110,353455,230,1670504,90,1206713,50,35064539
Región de Aysén del General Carlos Ibáñez del Campo,aysén,2450,1334765973200017,60,313,220,570936,170,1267186,150,22164,280,933268,420,292925,320,42294,460,142928429999743,220,150348,90,116858,60,1285252030000043
Región de Aysén del General Carlos Ibáñez del Campo,cisnes/guaitecas,2270,6465471695,20,126,50,125,90,6165,120,16732,320,99135,360,252607,450,63777,540,177574695,240,1620014,60,8950630000000001,20,59350108
Región de Aysén del General Carlos Ibáñez del Campo,cochrane,1280,1132821485,10,05,50,185,40,306,40,478,40,1575,40,2780,150,23652,350,1200373,320,233543985,150,199735,90,5505242
Región de Aysén del General Carlos Ibáñez del Campo,tortel/o'higgins,390,18514321873,10,06,00,00,10,90,30,346,20,599,60,4740,60,870002,50,14475,30,18195,60,7338035,60,18393790503
Región de Aysén del General Carlos Ibáñez del Campo,chile_chico,2610,361668672,150,798,440,11774,260,17728,250,33938,280,9375,170,137729,170,2383059,400,12608878,330,23838725,120,1629444,40,3035864
Región de Aysén del General Carlos Ibáñez del Campo,río_ibáñez,2620,2311261760000723,20,135,220,6864,160,10689,150,21947,320,108977,300,22083,440,626717,560,180270,310,2003035,70,799251,70,2255250310000723
Región de Magallanes y de la Antártica Chilena,total_región,5830,115035326638,650,320066,820,1755184,190,1230698,220,3084,220,703953,100,7260,200,31076,320,11159156,260,1782124,260,3644218,2590,1143293354
