0,1,2,3,4,5,6,7,8
región_de_arica_y_parinacota,total_región,hortalizas,alcayota,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,apio,2.0,0.225,0.225,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,arveja_verde,10.0,2.67,2.47,0.2,0.0
región_de_arica_y_parinacota,total_región,hortalizas,berenjena,61.0,44.8,41.62,3.18,0.0
región_de_arica_y_parinacota,total_región,hortalizas,berro,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,betarraga,45.0,27.38,27.38,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,brócoli,22.0,12.25,10.25,2.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,bunching_(consumo),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,caigua,7.0,2.201,2.201,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,camote,1.0,0.003,0.003,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,cebolla,224.0,569.565,569.565,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,cebollín_(incl._baby_y_otros),8.0,2.28,2.2,0.08,0.0
región_de_arica_y_parinacota,total_región,hortalizas,chalota,1.0,0.1,0.1,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,choclo,298.0,587.79,582.29,5.5,0.0
región_de_arica_y_parinacota,total_región,hortalizas,choclo_dulce_(maíz_dulce),108.0,131.79,116.79,15.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,ciboultte,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,cilantro,8.0,1.325,1.235,0.09,0.0
región_de_arica_y_parinacota,total_región,hortalizas,coliflor,14.0,5.15,4.4,0.75,0.0
región_de_arica_y_parinacota,total_región,hortalizas,endibia,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,espárrago,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,espinaca,7.0,1.755,1.675,0.08,0.0
región_de_arica_y_parinacota,total_región,hortalizas,haba,66.0,25.409,24.709,0.7000000000000001,0.0
región_de_arica_y_parinacota,total_región,hortalizas,huerta_casera_(princ._autoconsum,1.0,0.1,0.1,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,kale_(o_col_crespa),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,kohlrabi_(o_colirrábano),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,lechuga,37.0,17.46,16.46,1.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,locoto_(o_rocoto),20.0,13.375,13.375,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,lufa,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,melón,10.0,12.8,11.0,1.8,0.0
región_de_arica_y_parinacota,total_región,hortalizas,orégano,34.0,21.028,21.028,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,pak_choi_(o_bok_choy),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,pepino_dulce,7.0,3.25,2.5,0.75,0.0
región_de_arica_y_parinacota,total_región,hortalizas,pepino_ensalada,167.0,140.52,1.5,139.02,0.0
región_de_arica_y_parinacota,total_región,hortalizas,perejil,3.0,2.0,0.0,2.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,pimiento_(incl._todos_los_tipos),220.0,198.84,10.145,188.695,0.0
región_de_arica_y_parinacota,total_región,hortalizas,poroto_granado,4.0,1.5,1.5,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,poroto_verde,35.0,18.15,13.7,4.45,0.0
