total_nacional_region,comuna_67,tipo_de_cultivo,especie,numero_total_de_upa8910,superficie_total_de_cultivo_ha,aire_libre_superficie_ha,bajo_cubierta_superficie_ha,sin_clasificar_superficie_ha_11
Región de Arica y Parinacota,Total Región,Flores de corte,Azucena (Nerine spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Cala (Zantedeschia spp.),1,0.25,0,0.25,0
Región de Arica y Parinacota,Total Región,Flores de corte,Cebolla Ornamental (Allium spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Celosía (Celosia Argentea),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Chinas (Tagetes erecta),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Cineraria (Senecio cruentus),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Clavel (Dianthus caryophyllus),6,2.6,0.45,2.15,0
Región de Arica y Parinacota,Total Región,Flores de corte,Clavelina (Dianthus barbatus),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Craspedia (Craspedia uniflora),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Crisantemo (Chrysanthemum spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Dalia (Dahlia spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Escabiosa (Scabiosa spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Estatice (Limonium spp.),1,0.2,0.2,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Flor de cera (Chamelaucium uncinatum),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Fresia (Freesia spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Genciana (Gentiana spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Gerbera (Gerbera spp.),1,0.1,0,0.1,0
Región de Arica y Parinacota,Total Región,Flores de corte,Girasol (Helianthus annus),1,0.05,0,0.05,0
Región de Arica y Parinacota,Total Región,Flores de corte,Gladiolo (Gladiolus spp.),2,0.101,0,0.101,0
Región de Arica y Parinacota,Total Región,Flores de corte,Hipérico rojo (Hypericum spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Hortensia (Hydrangea spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Ilusión (Gypsophila spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Jacinto (Hyacinthus orientalis),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Junco (Cyperus papyrus),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Leucadendro (Leucadendron spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Liatris (Liatris spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Lilium (Lilium spp.),8,1.456,0,1.456,0
Región de Arica y Parinacota,Total Región,Flores de corte,Lirios (Iris spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Lisianto (Lisianthus spp.),2,0.74,0,0.74,0
Región de Arica y Parinacota,Total Región,Flores de corte,Milindro (Godetia multicolor),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Narciso (Narcissus spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Ornitogalum (Ornithogalum spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Peonía (Paeonia spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Perritos (Antirrhinum majus),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Protea (Protea spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Ranúnculo (Ranunculus spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Reina Luisa (Aster spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Rosa (Rosa spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Ruscus (Ruscus spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Siempreviva (Helichrysum spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Tulipán (Tulipa spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Vara de oro (Solidago spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Vibornio (Viburnum spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Viola (Viola spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Zinnia (Zinnia spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Otras flores de corte o follaje de corte,2,0.7,0.5,0.2,0
Región de Arica y Parinacota,Total Región,Hortalizas,Total,970,2888.576,1747.205,1135.731,5.64
Región de Arica y Parinacota,Total Región,Hortalizas,Sin Clasificar,4,5.64,0,0,5.64
Región de Arica y Parinacota,Total Región,Hortalizas,Acelga,9,3.245,2.495,0.75,0
Región de Arica y Parinacota,Total Región,Hortalizas,Achicoria,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Ají,59,31.35,19.75,11.6,0
Región de Arica y Parinacota,Total Región,Hortalizas,Ajo,9,2.874,2.874,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Ajo chilote,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Albahaca,15,9.190000000000001,6.19,3,0
Región de Arica y Parinacota,Total Región,Hortalizas,Alcachofa,4,1.5,1.5,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Alcaparra,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Alcayota,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Apio,2,0.225,0.225,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Arveja Verde,10,2.67,2.47,0.2,0
Región de Arica y Parinacota,Total Región,Hortalizas,Berenjena,61,44.8,41.62,3.18,0
Región de Arica y Parinacota,Total Región,Hortalizas,Berro,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Betarraga,45,27.38,27.38,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Brócoli,22,12.25,10.25,2,0
Región de Arica y Parinacota,Total Región,Hortalizas,Bunching (consumo),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Caigua,7,2.201,2.201,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Camote,1,0.003,0.003,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Cebolla,224,569.565,569.565,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Cebollín (incl. baby y otros),8,2.28,2.2,0.08,0
Región de Arica y Parinacota,Total Región,Hortalizas,Chalota,1,0.1,0.1,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Choclo,298,587.79,582.29,5.5,0
Región de Arica y Parinacota,Total Región,Hortalizas,Choclo dulce (maíz dulce),108,131.79,116.79,15,0
Región de Arica y Parinacota,Total Región,Hortalizas,Ciboultte,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Cilantro,8,1.325,1.235,0.09,0
Región de Arica y Parinacota,Total Región,Hortalizas,Coliflor,14,5.15,4.4,0.75,0
Región de Arica y Parinacota,Total Región,Hortalizas,Endibia,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Espárrago,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Espinaca,7,1.755,1.675,0.08,0
Región de Arica y Parinacota,Total Región,Hortalizas,Haba,66,25.409,24.709,0.7000000000000001,0
